seqnames	start	end	strand	gene_id	symbol
chr1	3214482	3671498	-	497097	Xkr4
chr1	4290846	4409241	-	19888	Rp1
chr1	4490928	4497354	-	20671	Sox17
chr1	4773198	4785726	-	27395	Mrpl15
chr1	4807893	4846735	+	18777	Lypla1
chr1	4857694	4897909	+	21399	Tcea1
chr1	4909576	5070285	-	58175	Rgs20
chr1	5083086	5162549	+	108664	Atp6v1h
chr1	5588493	5606133	+	18387	Oprk1
chr1	5913707	5917398	-	226304	Npbwr1
chr1	6214662	6276104	+	12421	Rb1cc1
chr1	6359331	6394731	+	620393	Alkal1
chr1	6487231	6860940	+	240690	St18
chr1	7088920	7173628	+	319263	Pcmtd1
chr1	8359739	9299877	-	71096	Sntg1
chr1	9545408	9547455	+	59014	Rrs1
chr1	9548046	9577968	+	76187	Adhfe1
chr1	9560832	9631092	-	72481	2610203C22Rik
chr1	9601267	9627142	+	76982	Vxn
chr1	9667411	9700209	-	17864	Mybl1
chr1	9718622	9748382	-	70675	Vcpip1
chr1	9747648	9791922	+	73331	1700034P13Rik
chr1	9798130	9902570	+	170755	Sgk3
chr1	9908638	9940954	+	240697	Mcmdc2
chr1	9942025	9944118	-	73824	Snhg6
chr1	9942470	9942543	-	266793	Snord87
chr1	9960163	9967485	-	100039596	Tcf24
chr1	9968622	10009136	-	69312	Ppp1r42
chr1	10024600	10038159	-	26754	Cops5
chr1	10038218	10136768	+	211660	Cspp1
chr1	10137507	10232670	-	211673	Arfgef1
chr1	10324719	10719945	-	329093	Cpa6
chr1	10993465	11303682	+	109294	Prex2
chr1	11414105	11975902	+	320492	A830018L16Rik
chr1	12425986	12426106	+	102465961	Mir6341
chr1	12667563	12673090	+	329096	Gm17644
chr1	12692430	12860372	+	240725	Sulf1
chr1	12866549	12991135	-	240726	Slco5a1
chr1	13113428	13127163	-	383491	Prdm14
chr1	13139105	13374083	-	17978	Ncoa2
chr1	13564693	13589910	-	72265	Tram1
chr1	13625898	13660509	-	212442	Lactb2
chr1	13668771	13701723	+	381246	Xkr9
chr1	13785685	13786929	-	433273	Gm5523
chr1	14168958	14310199	-	14048	Eya1
chr1	14753346	14755966	-	17681	Msc
chr1	14872648	14918862	-	277328	Trpa1
chr1	15312452	15714214	+	98741	Kcnb2
chr1	15805646	15844052	+	21749	Terf1
chr1	15853862	15892722	-	226866	Sbspon
chr1	16065979	16093325	-	75799	4930444P10Rik
chr1	16101295	16104433	-	19989	Rpl7
chr1	16105882	16132550	+	98711	Rdh10
chr1	16228810	16519302	-	29819	Stau2
chr1	16540788	16619338	-	66799	Ube2w
chr1	16641725	16657119	-	67923	Eloc
chr1	16657552	16662278	+	329101	D030040B21Rik
chr1	16665191	16678275	+	70397	Tmem70
chr1	16688456	16709605	+	17087	Ly96
chr1	16994938	17097889	-	57339	Jph1
chr1	17145373	17164271	+	14545	Gdap1
chr1	17601901	17630939	+	94227	Pi15
chr1	17676027	17727646	-	102634913	Gm16070
chr1	17727052	17766207	+	83691	Crispld1
chr1	18115191	18145853	-	78081	Crisp4
chr1	18210053	18223564	-	654454	Defb44-ps
chr1	18236473	18237443	-	654460	Defb18
chr1	18250978	18265138	-	77673	Defb41
chr1	19103022	19166338	+	226896	Tfap2d
chr1	19208914	19238845	+	21419	Tfap2b
chr1	20057779	20618057	-	241035	Pkhd1
chr1	20356454	20392300	+	75028	4930486I03Rik
chr1	20669882	20682958	+	105661730	Lincmd1
chr1	20679010	20682887	+	723817	Mir133b
chr1	20730905	20734496	+	16171	Il17a
chr1	20777146	20784270	-	257630	Il17f
chr1	20803014	20820213	-	17215	Mcm3
chr1	20888650	20890473	-	77741	6720483E21Rik
chr1	20890622	20938756	+	74229	Paqr8
chr1	20951626	20990841	+	71877	Efhc1
chr1	21001397	21079225	-	170829	Tram2
chr1	21218575	21230167	+	75712	Tmem14a
chr1	21240585	21265575	+	14859	Gsta3
chr1	21285246	21298312	-	241041	Gm4956
chr1	21349677	21352199	+	368204	Khdc1a
chr1	21368331	21369743	+	433278	Khdc1c
chr1	21383556	21386384	+	98582	Khdc1b
chr1	21398399	21962650	-	226922	Kcnq5
chr1	22288422	22805724	-	116837	Rims1
chr1	23100473	23102253	-	66755	4933415F23Rik
chr1	23272269	23272339	+	387225	Mir30a
chr1	23291701	23291784	+	723964	Mir30c-2
chr1	23366424	23383175	-	70155	Ogfrl1
chr1	23761926	23847865	+	280645	B3gat2
chr1	23844825	23922381	-	98366	Smap1
chr1	23995939	24005640	-	68002	Sdhaf4
chr1	24010758	24100341	-	68187	Fam135a
chr1	24177610	24252738	+	12839	Col9a1
chr1	24257683	24587437	-	12823	Col19a1
chr1	24678544	24766301	+	68421	Lmbrd1
chr1	25067476	25829707	-	210933	Adgrb3
chr1	25276404	25277954	-	100504323	Gm20172
chr1	26681801	26687460	-	210940	4931408C20Rik
chr1	27884046	27902187	+	433281	Gm5524
chr1	28776122	28780252	-	210962	Gm597
chr1	29421488	29421612	+	102465174	Mir6342
chr1	30802342	30873872	-	213109	Phf3
chr1	30940303	30949755	-	19243	Ptp4a1
chr1	31019188	31096454	-	102634473	Gm29669
chr1	31141078	31222656	-	70988	4931428L18Rik
chr1	31176435	31204725	+	266744	Lgsn
chr1	31222839	31224287	+	74708	Pih1d3
chr1	31264847	31268061	+	226957	Gm4850
chr1	32172806	32657738	+	170771	Khdrbs2
chr1	32519563	32520999	-	408192	Gm9839
chr1	32543546	32547293	-	408191	Gm5415
chr1	33453808	33669794	-	19076	Prim2
chr1	33669824	33670712	+	67503	1700001G17Rik
chr1	33719896	33742564	+	19335	Rab23
chr1	33745484	33757750	-	213539	Bag2
chr1	33761541	33814595	-	98403	Zfp451
chr1	33835899	33838914	-	433287	Gm15455
chr1	33852052	33907767	-	320705	Bend6
chr1	33908225	34308662	+	13518	Dst
chr1	34117359	34117431	+	102466987	Mir6896
chr1	34433121	34433199	-	100628580	Mir5103
chr1	34436670	34439672	-	69668	Ccdc115
chr1	34439829	34445747	+	27993	Imp4
chr1	34459746	34475733	+	19253	Ptpn18
chr1	34498430	34503062	+	21755	Prss39
chr1	34535648	34544311	+	12627	Cfc1
chr1	34543975	34560943	-	21756	Prss40
chr1	34579693	34590944	+	211383	Amer3
chr1	34633535	34636210	-	241051	AA619741
chr1	34721924	34812754	+	226970	Arhgef4
chr1	34813218	34843050	-	214469	Fam168b
chr1	34849959	34879585	+	226971	Plekhb2
chr1	36068400	36106446	+	50785	Hs6st1
chr1	36140028	36244302	-	320011	Uggt1
chr1	36144252	36144313	-	102465540	Mir6897
chr1	36264602	36273425	-	214854	Neurl3
chr1	36307733	36324029	+	214855	Arid5a
chr1	36335730	36369181	-	226976	Kansl3
chr1	36348682	36348758	-	102465541	Mir6898
chr1	36372291	36422110	+	100534273	Fer1l5
chr1	36423186	36445271	-	214895	Lman2l
chr1	36471597	36508776	+	94220	Cnnm4
chr1	36511876	36528237	+	94218	Cnnm3
chr1	36530193	36539358	-	78321	Ankrd23
chr1	36538171	36547252	-	109346	Ankrd39
chr1	36548639	36558381	-	20353	Sema4c
chr1	36562696	36683183	-	381337	Fam178b
chr1	36691487	36693388	+	12859	Cox5b
chr1	36699202	36709925	-	226977	Actr1b
chr1	36714538	36757960	+	71166	4933424G06Rik
chr1	36761798	36782820	+	22637	Zap70
chr1	36792189	36939527	-	56030	Tmem131
chr1	37218278	37263384	+	12790	Cnga3
chr1	37299838	37410740	+	269180	Inpp4a
chr1	37417085	37430103	-	76178	Coa5
chr1	37430172	37439124	+	67387	Unc50
chr1	37439340	37541016	-	269181	Mgat4a
chr1	37485851	37488605	-	77633	4930594C11Rik
chr1	37611676	37719811	-	72097	2010300C02Rik
